
Text conversion of header file \h820\optphotolab\Drones\DJI__Mavic_3M\viikki-field_calibration__20240523\reflec_3\DN_gravel__00125.asd
 -------------------------------------------------------------
                                                                                                                                                            
The instrument number was  18875/1
New ASD spectrum file: Program version = 6.04 file version = 7.00
Spectrum saved: 05/23/2024 at 17:17:01
VNIR integration time : 68
VNIR channel 1 wavelength = 350 wavelength step = 1
There was one sample per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 65535
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 16 offset was 2051
SWIR2 gain was 16 offset was 2074
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1800 nm
VNIR dark signal subtracted
100 dark measurements taken Thu May 23 17:12:29 2024
DCC value was 0
Data is not compared to a white reference
There was no foreoptic attached
Spectrum file is raw data with embedded reference
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is 00:00:00

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Wavelength	reflec_penels3-00125.asd
914	 3031.03155386873 
915	 2997.01278330879 
916	 2972.34594241231 
917	 2970.1075013443 
918	 2992.09212214847 
919	 3029.74711793967 
920	 3061.48302540556 
921	 3077.42682604472 
922	 3069.31756463235 
923	 3030.68173044835 
924	 2955.87324447705 
925	 2849.19285283363 
926	 2712.28110454036 
927	 2543.8480047424 
928	 2338.47129301884 
929	 2101.06768445652 
930	 1841.85261284847 
931	 1576.7931262503 
932	 1332.01412088564 
933	 1130.49057784977 
934	 984.666889430782 
935	 895.911025655373 
936	 858.338064023168 
937	 867.562418457103 
938	 910.19202503578 
939	 963.652611295316 
940	 1007.27298554359 
941	 1032.62947019866 
942	 1037.24319564905 
943	 1022.85837935179 
944	 992.321335782786 
945	 953.914814184397 
946	 919.236656149881 
947	 901.366061336388 
948	 894.762927273528 
949	 895.928273016782 
950	 900.553494350537 
951	 903.525214846935 
952	 905.673121595777 
953	 903.865666370059 
954	 899.920450568534 
955	 903.767958969303 
956	 906.759426943662 
957	 913.640463936597 
958	 926.4402601535 
959	 937.895563218163 
960	 951.811358288399 
961	 970.802103117709 
962	 994.714393608807 
963	 1019.11985274321 
964	 1047.04265476468 
965	 1079.86264190681 
966	 1116.38763773646 
967	 1151.83183420656 
968	 1183.93573665708 
969	 1210.27046588503 
970	 1228.43023709838 
971	 1235.99572066022 
972	 1231.1391054239 
973	 1216.87043794012 
974	 1197.02829640249 
