 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             4  streams

 w-grid:          561    280.0000        420.0000    
 equally spaced z-grid
 z-grid:           81    0.000000        80.00000    
  measurement point: index            1  altitude=    0.000000    
 idate =      20150630  esfact(1) =     1.000000    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 solar zenith angle =     75.00000    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 348.50     348.75     5.063E-03  9.920E-02     1.043E-02   1.043E-01
 348.75     349.00     6.185E-03  1.202E-01     1.264E-02   1.264E-01
 349.00     349.25     3.979E-03  7.678E-02     8.076E-03   8.076E-02
 349.25     349.50     4.811E-03  9.211E-02     9.692E-03   9.692E-02
 349.50     349.75     5.430E-03  1.032E-01     1.086E-02   1.086E-01
 349.75     350.00     4.524E-03  8.532E-02     8.985E-03   8.985E-02
 350.00     350.25     6.947E-03  1.300E-01     1.370E-02   1.370E-01
 350.25     350.50     7.081E-03  1.316E-01     1.386E-02   1.386E-01
 350.50     350.75     6.236E-03  1.150E-01     1.212E-02   1.212E-01
 350.75     351.00     6.765E-03  1.238E-01     1.306E-02   1.306E-01
 351.00     351.25     5.868E-03  1.066E-01     1.125E-02   1.125E-01
 351.25     351.50     5.307E-03  9.570E-02     1.010E-02   1.010E-01
 351.50     351.75     5.462E-03  9.776E-02     1.032E-02   1.032E-01
 351.75     352.00     7.359E-03  1.308E-01     1.381E-02   1.381E-01
 352.00     352.25     6.292E-03  1.110E-01     1.173E-02   1.173E-01
 352.25     352.50     5.877E-03  1.029E-01     1.088E-02   1.088E-01
 352.50     352.75     3.877E-03  6.740E-02     7.127E-03   7.127E-02
 352.75     353.00     6.215E-03  1.073E-01     1.135E-02   1.135E-01
 353.00     353.25     7.138E-03  1.223E-01     1.294E-02   1.294E-01
 353.25     353.50     5.925E-03  1.008E-01     1.067E-02   1.067E-01
 353.50     353.75     7.709E-03  1.302E-01     1.379E-02   1.379E-01
 353.75     354.00     6.839E-03  1.147E-01     1.215E-02   1.215E-01
 354.00     354.25     7.852E-03  1.307E-01     1.386E-02   1.386E-01
 354.25     354.50     7.343E-03  1.214E-01     1.287E-02   1.287E-01
 354.50     354.75     7.986E-03  1.311E-01     1.391E-02   1.391E-01
 354.75     355.00     7.570E-03  1.234E-01     1.310E-02   1.310E-01
 355.00     355.25     8.398E-03  1.359E-01     1.443E-02   1.443E-01
 355.25     355.50     7.210E-03  1.159E-01     1.231E-02   1.231E-01
 355.50     355.75     7.230E-03  1.154E-01     1.226E-02   1.226E-01
 355.75     356.00     6.690E-03  1.060E-01     1.127E-02   1.127E-01
 356.00     356.25     7.648E-03  1.204E-01     1.280E-02   1.280E-01
 356.25     356.50     8.876E-03  1.387E-01     1.476E-02   1.476E-01
 356.50     356.75     4.678E-03  7.261E-02     7.729E-03   7.729E-02
 356.75     357.00     6.951E-03  1.072E-01     1.141E-02   1.141E-01
 357.00     357.25     4.385E-03  6.714E-02     7.153E-03   7.153E-02
 357.25     357.50     6.307E-03  9.592E-02     1.022E-02   1.022E-01
 357.50     357.75     7.123E-03  1.076E-01     1.147E-02   1.147E-01
 357.75     358.00     6.822E-03  1.024E-01     1.092E-02   1.092E-01
 358.00     358.25     4.890E-03  7.287E-02     7.776E-03   7.776E-02
 358.25     358.50     5.070E-03  7.505E-02     8.012E-03   8.012E-02
 358.50     358.75     4.399E-03  6.467E-02     6.907E-03   6.907E-02
 358.75     359.00     5.147E-03  7.516E-02     8.031E-03   8.031E-02
 359.00     359.25     7.159E-03  1.039E-01     1.110E-02   1.110E-01
 359.25     359.50     7.998E-03  1.153E-01     1.233E-02   1.233E-01
 359.50     359.75     8.937E-03  1.279E-01     1.369E-02   1.369E-01
 359.75     360.00     9.632E-03  1.370E-01     1.466E-02   1.466E-01
 360.00     360.25     1.035E-02  1.462E-01     1.565E-02   1.565E-01
 360.25     360.50     7.361E-03  1.033E-01     1.107E-02   1.107E-01
 360.50     360.75     7.417E-03  1.034E-01     1.108E-02   1.108E-01
 360.75     361.00     6.889E-03  9.543E-02     1.023E-02   1.023E-01
 361.00     361.25     6.303E-03  8.674E-02     9.304E-03   9.304E-02
